id,x_tol_m,x_dot_tol_mps,theta_tol_rad,theta_dot_tol_rps,q_theta_over_x,q_theta_dot_over_x_dot,r_scale,q,r,survival_s,max_cart_m,max_theta_deg,avg_abs_u,score,success
25,0.5,1.0,0.2,1.4,6.249999999999999,0.5102040816326532,1.3,"[4.0, 1.0, 24.999999999999996, 0.5102040816326532]",0.13,115.12999725341797,2.1088125705718994,45.386573791503906,25.087093353271484,112.41525268554688,False
26,0.5,1.0,0.2,1.4,6.249999999999999,0.5102040816326532,1.5,"[4.0, 1.0, 24.999999999999996, 0.5102040816326532]",0.15000000000000002,79.22000122070312,2.2039575576782227,46.64583206176758,25.236207962036133,76.42801666259766,False
27,0.5,1.0,0.2,1.4,6.249999999999999,0.5102040816326532,1.8,"[4.0, 1.0, 24.999999999999996, 0.5102040816326532]",0.18000000000000002,9.300000190734863,2.3215649127960205,48.50646209716797,25.413440704345703,6.4066853523254395,False
28,0.5,1.0,0.2,2.0,6.249999999999999,0.25,0.5,"[4.0, 1.0, 24.999999999999996, 0.25]",0.05,400.0,1.5791974067687988,36.00697326660156,24.903535842895508,397.7431335449219,True
29,0.5,1.0,0.2,2.0,6.249999999999999,0.25,0.7,"[4.0, 1.0, 24.999999999999996, 0.25]",0.06999999999999999,400.0,1.7639210224151611,39.51247024536133,24.685768127441406,397.58721923828125,True
30,0.5,1.0,0.2,2.0,6.249999999999999,0.25,0.9,"[4.0, 1.0, 24.999999999999996, 0.25]",0.09000000000000001,400.0,1.899937391281128,42.19761657714844,24.724864959716797,397.46429443359375,True
31,0.5,1.0,0.2,2.0,6.249999999999999,0.25,1.1,"[4.0, 1.0, 24.999999999999996, 0.25]",0.11000000000000001,400.0,2.0204575061798096,44.14630889892578,24.944074630737305,397.3585205078125,True
32,0.5,1.0,0.2,2.0,6.249999999999999,0.25,1.3,"[4.0, 1.0, 24.999999999999996, 0.25]",0.13,79.2300033569336,2.117018699645996,45.6725959777832,25.123886108398438,76.50432586669922,False
33,0.5,1.0,0.2,2.0,6.249999999999999,0.25,1.5,"[4.0, 1.0, 24.999999999999996, 0.25]",0.15000000000000002,67.72000122070312,2.2123827934265137,46.85944747924805,25.272480010986328,64.91844940185547,False
34,0.5,1.0,0.2,2.0,6.249999999999999,0.25,1.8,"[4.0, 1.0, 24.999999999999996, 0.25]",0.18000000000000002,9.289999961853027,2.329920768737793,48.70021057128906,25.448463439941406,6.387581825256348,False
